start,end,flow,distance,Time
650,653,1,230.5988463771659,T1
650,653,1,115.5988463771659,T1
248,96,1,166.57631366852297,T1
604,653,1,173.08339376122788,T1
96,248,2,166.57631366852297,T1
248,499,1,158.83101891150187,T1
650,653,1,335.5988463771659,T1
653,604,1,143.08339376122788,T1
653,604,1,123.08339376122788,T1
604,499,1,101.57855110483032,T1
604,499,1,106.57855110483032,T1
248,96,1,126.57631366852296,T1
248,96,1,136.57631366852297,T1
604,653,1,243.08339376122788,T1
604,653,1,148.08339376122788,T1
96,248,2,131.57631366852297,T1
604,653,2,193.08339376122788,T1
604,653,2,188.08339376122788,T1
604,499,1,111.57855110483032,T1
604,499,1,121.57855110483032,T1
604,653,2,218.08339376122788,T1
604,653,2,213.08339376122788,T1
96,248,1,121.57631366852296,T1
604,653,1,228.08339376122788,T1
604,653,1,188.08339376122788,T1
653,604,1,178.08339376122788,T1
650,653,1,170.5988463771659,T1
650,653,1,265.5988463771659,T1
653,604,1,173.08339376122788,T1
650,653,1,260.5988463771659,T1
650,653,1,255.5988463771659,T1
653,604,1,188.08339376122788,T1
653,604,1,193.08339376122788,T1
650,653,1,270.5988463771659,T1
650,653,1,255.5988463771659,T1
650,653,1,250.5988463771659,T1
653,604,1,163.08339376122788,T1
653,604,2,168.08339376122788,T1
650,653,3,275.5988463771659,T1
650,653,1,195.5988463771659,T1
653,604,3,188.08339376122788,T1
653,604,1,193.08339376122788,T1
650,653,1,255.5988463771659,T1
650,653,1,250.5988463771659,T1
650,653,1,245.5988463771659,T1
650,653,2,240.5988463771659,T1
653,604,1,148.08339376122788,T1
653,604,1,163.08339376122788,T1
653,604,1,168.08339376122788,T1
653,604,2,173.08339376122788,T1
650,653,1,280.5988463771659,T1
650,653,1,270.5988463771659,T1
650,653,1,265.5988463771659,T1
653,604,1,173.08339376122788,T1
650,653,1,240.5988463771659,T1
650,653,1,225.5988463771659,T1
604,653,1,113.08339376122788,T1
604,499,1,76.57855110483032,T1
604,653,1,173.08339376122788,T1
604,499,1,71.57855110483032,T1
604,499,1,86.57855110483032,T1
604,499,1,91.57855110483032,T1
604,499,1,126.57855110483032,T1
604,653,1,168.08339376122788,T1
604,653,1,153.08339376122788,T1
604,499,1,96.57855110483032,T1
604,499,1,101.57855110483032,T1
604,653,1,173.08339376122788,T1
604,653,1,168.08339376122788,T1
604,499,1,91.57855110483032,T1
604,499,1,96.57855110483032,T1
604,653,2,203.08339376122788,T1
604,653,1,193.08339376122788,T1
604,499,1,106.57855110483032,T1
604,499,1,121.57855110483032,T1
604,499,1,126.57855110483032,T1
604,653,1,188.08339376122788,T1
604,653,2,183.08339376122788,T1
604,653,2,178.08339376122788,T1
604,499,2,91.57855110483032,T1
604,499,3,96.57855110483032,T1
604,499,1,106.57855110483032,T1
604,499,2,116.57855110483032,T1
604,653,1,203.08339376122788,T1
604,653,5,198.08339376122788,T1
604,653,1,103.08339376122788,T1
248,96,1,136.57631366852297,T1
604,653,1,153.08339376122788,T1
96,248,1,136.57631366852297,T1
499,604,1,116.57855110483032,T1
650,653,1,220.5988463771659,T1
650,653,1,185.5988463771659,T1
650,653,1,305.5988463771659,T1
653,604,1,193.08339376122788,T1
653,604,1,203.08339376122788,T1
653,604,1,213.08339376122788,T1
650,653,1,295.5988463771659,T1
650,653,1,290.5988463771659,T1
653,604,1,198.08339376122788,T1
650,653,1,310.5988463771659,T1
650,653,1,305.5988463771659,T1
650,653,1,300.5988463771659,T1
650,653,1,325.5988463771659,T1
653,604,1,213.08339376122788,T1
650,653,1,270.5988463771659,T1
650,653,1,260.5988463771659,T1
653,604,1,203.08339376122788,T1
650,653,1,310.5988463771659,T1
650,653,1,305.5988463771659,T1
650,653,1,300.5988463771659,T1
653,604,1,193.08339376122788,T1
653,604,1,198.08339376122788,T1
650,653,1,305.5988463771659,T1
650,653,1,295.5988463771659,T1
650,653,1,290.5988463771659,T1
650,653,1,205.5988463771659,T1
650,653,1,200.5988463771659,T1
650,653,1,190.5988463771659,T1
650,653,1,205.5988463771659,T1
650,653,1,240.5988463771659,T2
604,653,1,298.08339376122785,T2
650,653,1,180.5988463771659,T2
604,653,1,193.08339376122788,T2
248,96,1,91.57631366852296,T2
604,653,1,198.08339376122788,T2
604,653,1,193.08339376122788,T2
604,653,1,188.08339376122788,T2
604,499,1,121.57855110483032,T2
96,248,1,126.57631366852296,T2
653,604,1,193.08339376122788,T2
653,604,1,218.08339376122788,T2
653,604,1,168.08339376122788,T2
653,604,1,183.08339376122788,T2
653,604,1,203.08339376122788,T2
650,653,1,250.5988463771659,T2
650,653,1,285.5988463771659,T2
650,653,1,205.5988463771659,T2
650,653,1,200.5988463771659,T2
653,604,2,193.08339376122788,T2
653,604,1,198.08339376122788,T2
653,604,1,203.08339376122788,T2
650,653,1,265.5988463771659,T2
650,653,2,250.5988463771659,T2
650,653,1,245.5988463771659,T2
653,604,1,163.08339376122788,T2
653,604,1,173.08339376122788,T2
650,653,1,280.5988463771659,T2
650,653,1,275.5988463771659,T2
653,604,4,188.08339376122788,T2
650,653,1,250.5988463771659,T2
